Designator,Mid X,Mid Y,Rotation,Layer
C1,128.754,-97.691,-90.0,top
C2,122.785,-108.74,-90.0,top
C3,121.769,-105.946,180.0,top
C4,146.026,-97.818,-90.0,top
C5,122.785,-112.296,-90.0,top
C6,142.089,-109.629,0.0,top
C7,182.626,-114.963,-90.0,top
C8,182.626,-101.374,90.0,top
J1,114.3,-97.79,-90.0,top
J2,195.58,-106.68,-90.0,top
J3,114.3,-114.3,-90.0,top
Q1,125.833,-106.454,180.0,top
Q10,142.343,-106.581,180.0,top
Q11,145.772,-113.566,180.0,top
Q12,149.074,-115.09,-90.0,top
Q13,130.786,-110.899,0.0,top
Q14,134.85,-110.899,0.0,top
Q15,125.96,-116.614,0.0,top
Q16,138.279,-113.566,90.0,top
Q17,152.249,-117.249,-90.0,top
Q18,141.2,-112.55,90.0,top
Q19,125.96,-119.408,0.0,top
Q2,129.77,-106.454,180.0,top
Q20,132.564,-117.63,90.0,top
Q21,156.059,-118.392,180.0,top
Q22,164.568,-99.448,0.0,top
Q23,163.432,-94.683,0.0,top
Q3,133.707,-106.454,180.0,top
Q4,168.632,-114.3,180.0,top
Q5,169.521,-120.133,180.0,top
Q6,145.772,-110.137,180.0,top
Q7,138.406,-108.613,-90.0,top
Q8,125.96,-110.01,180.0,top
Q9,149.074,-111.28,90.0,top
R1,146.661,-106.581,90.0,top
R10,172.946,-106.172,-90.0,top
R11,175.006,-106.172,-90.0,top
R12,131.548,-113.947,-90.0,top
R13,134.088,-113.947,90.0,top
R14,138.533,-118.773,90.0,top
R15,183.237,-122.583,180.0,top
R16,140.946,-118.773,-90.0,top
R17,135.104,-118.773,90.0,top
R18,159.234,-119.408,90.0,top
R19,179.7845,-122.583,180.0,top
R2,148.82,-106.581,90.0,top
R20,176.2285,-122.583,180.0,top
R3,126.849,-113.566,-90.0,top
R4,175.006,-109.728,-90.0,top
R5,172.974,-109.728,-90.0,top
R6,170.942,-109.728,-90.0,top
R7,168.91,-109.728,-90.0,top
R8,168.91,-106.172,-90.0,top
R9,170.942,-106.172,-90.0,top
